sale_date,product_id,quantity,sales_price_tax,regular_price_tax,sales_price,regular_price,purchase_price
2021-04-05,156485,1,55992.0,69989.0,46660.0,58324.0741,41243.0
2021-04-05,156866,1,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-05,157318,1,10990.0,12211.0,9158.0,10175.9259,3481.2
2021-04-05,161147,1,4499.0,4999.0,3749.0,4165.7407,2200.0
2021-04-06,103851,2,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-06,110908,1,3990.0,7656.0,3325.0,6379.6333,3722.0
2021-04-06,112377,2,992.0,1322.0,827.0,1101.8519,644.813
2021-04-06,125506,4,1242.0,1656.0,1035.0,1379.6296,718.07
2021-04-06,128772,4,20436.0,25544.0,17030.0,21287.037,17261.0
2021-04-06,131910,1,7490.0,11110.0,6242.0,9258.3333,6144.7779
2021-04-06,132408,1,9990.0,16656.0,8325.0,13879.6296,7368.06
2021-04-06,132842,1,2490.0,3878.0,2075.0,3231.4815,1689.05
2021-04-06,133888,3,4990.0,5544.0,4158.0,4620.3704,2484.47
2021-04-06,134200,2,3231.0,3590.0,2692.5,2991.6667,2333.5026
2021-04-06,134358,1,37325.0,46656.0,31104.0,38880.0,30430.0
2021-04-06,136250,3,990.0,2767.0,825.0,2305.5583,980.0
2021-04-06,139935,1,1499.0,1666.0,1249.0,1387.963,720.0
2021-04-06,142254,1,5741.0,7656.0,4784.0,6379.6333,3722.0
2021-04-06,154557,2,26658.0,33322.0,22215.0,27768.5185,22509.6
2021-04-06,156474,6,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-06,156866,1,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-06,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-07,107645,4,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-07,110853,3,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-07,112376,1,386.0,433.0,322.0,361.1111,244.075
2021-04-07,124329,2,2990.0,3322.0,2492.0,2768.5185,1950.0
2021-04-07,124455,1,22222.0,27777.0,18518.0,23147.2222,16599.3083
2021-04-07,125506,2,1490.0,1656.0,1242.0,1379.6296,848.63
2021-04-07,128194,1,24888.0,31110.0,20740.0,25925.0,18784.9958
2021-04-07,128772,1,22990.0,25544.0,19158.0,21287.037,17261.0
2021-04-07,131910,3,7490.0,11110.0,6242.0,9258.3333,6144.7779
2021-04-07,132284,1,24880.0,31100.0,20733.0,25916.6667,21013.94
2021-04-07,132842,2,2351.5,3878.0,1959.5,3231.4815,1689.05
2021-04-07,133888,1,4990.0,5544.0,4158.0,4620.3704,2484.47
2021-04-07,134358,3,37325.0,46656.0,31104.0,38880.0,30430.0
2021-04-07,136250,2,1490.0,2767.0,1241.5,2305.5583,932.5
2021-04-07,142254,2,5640.0,7656.0,4700.0,6379.6333,3722.0
2021-04-07,143226,1,2490.0,2767.0,2075.0,2305.5556,1687.07
2021-04-07,145377,1,1890.0,2100.0,1575.0,1750.0,860.0
2021-04-07,156095,2,3690.0,4100.0,3075.0,3416.6667,2472.9122
2021-04-07,156474,5,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-07,156866,3,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-07,157316,2,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-07,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-07,161147,1,4499.0,4443.0,3749.0,3702.7778,2200.0
2021-04-08,103851,4,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-08,112377,3,1190.0,1322.0,992.0,1101.8519,644.813
2021-04-08,121807,4,1490.0,1490.0,1242.0,1241.6667,1009.47
2021-04-08,125506,5,1490.0,1656.0,1242.0,1379.6296,718.07
2021-04-08,126707,1,2490.0,4999.0,2075.0,4165.7407,1930.0
2021-04-08,128772,1,20436.0,25544.0,17030.0,21287.037,17261.0
2021-04-08,131910,6,9999.0,11110.0,8332.0,9258.3333,6144.7779
2021-04-08,133888,3,4990.0,5544.0,4158.0,4620.3704,2484.47
2021-04-08,134200,1,3590.0,3590.0,2992.0,2991.6667,2333.5026
2021-04-08,134358,5,37325.0,46656.0,31104.0,38880.0,30430.0
2021-04-08,136250,4,990.0,2767.0,825.0,2305.5583,932.5
2021-04-08,142254,1,5990.0,7656.0,4992.0,6379.6333,3722.0
2021-04-08,143226,2,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-08,145377,1,1890.0,2100.0,1575.0,1750.0,860.0
2021-04-08,156474,3,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-08,156866,1,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-08,157316,2,5490.0,7767.0,4575.0,6472.2222,2829.0
2021-04-08,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-08,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-08,161147,1,3332.0,4443.0,2777.0,3702.7778,2200.0
2021-04-09,103851,1,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-09,107645,1,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-09,121807,1,1490.0,1490.0,1242.0,1241.6667,1009.47
2021-04-09,124329,1,2990.0,3322.0,2492.0,2768.5185,1950.0
2021-04-09,125506,1,1490.0,1656.0,1242.0,1379.6296,718.07
2021-04-09,128772,1,22990.0,25544.0,19158.0,21287.037,17261.0
