stock_date,product_id,total_stock
2021-10-01,112376,889
2021-04-23,124455,395
2021-10-30,125506,464
2021-11-06,156095,22
2021-07-06,132408,391
2021-07-18,112377,511
2021-06-18,103851,711
2021-04-03,133888,79
2021-10-09,139935,1899
2021-01-16,136250,44
2021-12-31,121807,277
2021-09-01,136250,1024
2021-05-16,157913,515
2021-08-20,132408,322
2021-04-25,157318,150
2021-12-28,133888,134
2021-01-16,107645,259
2021-09-11,121807,187
2021-09-01,112376,985
2021-10-11,163385,377
2021-05-20,133888,77
2021-10-18,112377,268
2021-07-25,154557,19
2021-08-29,133888,125
2021-06-06,112376,519
2021-08-19,133888,148
2021-11-09,156866,15
2021-05-21,143226,279
2021-03-18,112376,1098
2021-08-26,124455,6
2021-03-24,124455,311
2021-04-27,103851,955
2021-07-12,139935,1344
2021-07-23,139935,7824
2021-05-01,107645,584
2021-01-16,149306,58
2021-10-01,110853,10
2021-12-09,133888,233
2021-12-04,112437,172
2021-12-05,156474,4
2021-10-12,162102,363
2021-04-16,154557,79
2021-04-14,122363,365
2021-08-29,103851,855
2021-04-17,134358,92
2021-12-04,134358,13
2021-03-13,128194,38
2021-03-27,121807,121
2021-06-24,154557,169
2021-11-06,136250,176
2021-03-12,139935,8579
2021-12-24,124329,531
2021-10-27,132284,34
2021-12-07,157316,387
2021-04-14,143226,785
2021-05-01,112582,395
2021-09-18,112437,531
2021-09-22,154553,12
2021-08-05,157316,145
2021-02-13,125506,642
2021-06-29,132284,118
2021-07-04,149301,379
2021-07-12,112582,520
2021-02-02,157318,100
2021-07-03,156866,355
2021-08-27,110908,200
2021-02-01,157913,744
2021-05-21,103851,769
2021-02-05,161147,23
2021-10-06,154557,402
2021-10-14,157316,42
2021-12-23,156095,22
2021-09-28,132842,379
2021-12-17,136250,115
2021-07-18,164725,164
2021-09-15,157913,198
2021-09-19,103851,504
2021-07-06,128772,39
2021-03-01,149301,2047
2021-08-10,164725,6
2021-05-11,162101,1589
2021-10-17,112437,529
2021-08-14,126707,13
2021-12-24,125506,376
2021-07-07,110908,442
2021-09-29,157317,225
2021-12-01,110675,469
2021-10-07,112582,32
2021-02-03,125506,748
2021-07-08,143226,496
2021-06-17,156866,261
2021-10-24,142254,167
2021-04-04,128194,139
2021-11-26,154557,402
2021-06-06,112582,1108
2021-05-04,124455,383
2021-03-10,136250,113
2021-02-11,112437,2009
2021-03-25,142254,75
2021-01-31,157913,749
2021-06-04,106100,556
2021-05-06,157317,211
2021-01-31,154557,119
2021-12-11,160649,5
2021-09-10,132408,390
2021-08-15,157318,189
2021-10-13,106100,23
2021-12-22,154553,3
2021-11-25,112437,349
2021-06-09,112437,1436
2021-11-25,139935,5418
2021-06-14,156474,256
2021-12-04,156095,8
2021-08-04,132842,685
2021-01-10,131910,220
2021-12-23,128194,8
2021-04-05,143226,883
2021-03-13,161147,154
2021-06-03,149306,108
2021-09-06,106100,41
2021-03-17,112437,2108
2021-08-28,136250,1079
2021-04-06,106100,40
2021-03-28,157317,99
2021-09-16,157913,199
2021-11-06,162101,846
2021-10-16,125506,292
2021-10-22,112376,592
2021-08-16,128772,106
2021-05-10,136250,566
2021-03-12,145377,461
2021-04-08,103851,456
2021-01-08,112376,620
2021-02-13,133888,134
2021-10-07,131910,244
2021-11-17,134200,603
2021-09-29,143226,658
2021-03-03,112437,2304
2021-03-09,161147,168
2021-06-29,161147,549
2021-04-02,142254,65
2021-10-31,164725,2
2021-05-07,161147,234
2021-06-19,132284,90
2021-01-26,136250,127
2021-10-09,149306,80
2021-12-07,160649,5
2021-01-25,128772,176
2021-01-09,156866,1
2021-01-17,143226,23
2021-09-12,142254,107
2021-10-06,112582,32
2021-06-25,143226,164
2021-11-20,133888,108
2021-03-30,131910,323
2021-12-30,160649,3
2021-09-02,107645,502
2021-07-07,132284,78
2021-04-03,121807,62
